20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65
10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000;10000
2842;2842;2842;2842;2931;3080;3177;3251;3298;3348;3386;3388;3433;3466;3567;3645;3701;3822;3958;4035;4073;4214;4364;4473;4621;4780;4895;5015;5161;5140;5245;5310;5297;5336;5316;5336;5375;5422;5426;5449;5472;5496;5519;5542;5565;5588
1743;1743;1743;1743;1848;2001;2112;2180;2243;2273;2275;2228;2238;2235;2298;2331;2390;2458;2526;2600;2652;2776;2930;3046;3155;3318;3392;3486;3662;3702;3801;3904;3931;3992;3998;3875;3714;3502;3437;3311;3184;3058;2931;2805;2679;2553
1144;1144;1144;1144;1215;1345;1461;1540;1600;1640;1659;1618;1617;1627;1684;1705;1747;1804;1851;1923;1973;2096;2237;2341;2417;2557;2641;2742;2911;2995;3093;3198;3260;3361;3395;3271;3123;2930;2876;2762;2649;2536;2422;2309;2195;2082
838;838;838;838;894;997;1087;1156;1209;1246;1264;1249;1254;1260;1321;1357;1390;1430;1479;1541;1575;1680;1814;1907;1974;2097;2190;2284;2441;2536;2637;2746;2828;2939;2976;2878;2753;2581;2544;2450;2356;2262;2168;2074;1980;1886
625;625;625;625;657;739;812;869;915;956;964;965;975;983;1033;1082;1106;1148;1193;1266;1303;1408;1540;1633;1676;1776;1860;1933;2076;2181;2305;2414;2506;2618;2673;2582;2474;2322;2297;2217;2138;2059;1980;1901;1822;1743
455;455;455;455;478;536;591;643;688;726;744;756;772;782;828;876;905;932;980;1055;1097;1193;1314;1400;1441;1529;1609;1696;1836;1939;2057;2175;2276;2384;2440;2367;2265;2125;2108;2039;1970;1900;1831;1762;1693;1624
339;339;339;339;343;382;431;476;524;559;583;595;612;628;684;732;771;801;841;915;965;1054;1162;1243;1282;1361;1437;1527;1659;1772;1875;1984;2082;2198;2252;2202;2115;1991;1986;1931;1876;1821;1766;1711;1656;1601
291;291;291;291;291;327;372;407;448;476;494;501;522;540;597;647;682;704;739;807;853;937;1039;1120;1158;1240;1319;1403;1534;1642;1736;1838;1941;2055;2120;2075;2003;1889;1894;1849;1804;1759;1714;1669;1624;1579
253;253;253;253;256;289;325;360;400;425;439;449;468;484;535;586;617;635;671;739;783;866;971;1045;1077;1148;1218;1294;1418;1523;1618;1715;1815;1920;1987;1947;1890;1788;1798;1762;1726;1690;1654;1618;1581;1545
215;215;215;215;217;251;285;320;359;384;396;406;421;431;477;528;560;579;616;680;719;798;895;965;1000;1069;1132;1207;1328;1423;1518;1614;1709;1813;1882;1842;1791;1700;1710;1679;1647;1615;1584;1552;1520;1489
187;187;187;187;183;216;249;285;322;352;363;375;388;395;436;481;508;526;564;623;659;731;825;892;928;1001;1066;1138;1259;1352;1440;1527;1623;1724;1793;1758;1710;1623;1636;1608;1579;1551;1522;1494;1465;1437
173;173;173;173;166;195;226;263;297;327;338;347;357;364;401;443;469;487;521;572;607;676;764;830;872;938;997;1067;1179;1271;1358;1447;1543;1643;1706;1671;1627;1547;1558;1530;1503;1476;1449;1422;1395;1368
152;152;152;152;143;172;201;237;270;298;308;318;325;332;366;402;428;443;477;530;565;626;710;774;809;872;929;994;1099;1191;1285;1374;1467;1568;1631;1592;1546;1469;1476;1448;1420;1391;1363;1335;1306;1278
138;138;138;138;130;159;186;222;255;280;287;295;302;310;344;377;397;406;439;486;521;582;666;726;760;825;882;947;1047;1137;1220;1302;1391;1491;1550;1514;1478;1407;1416;1392;1368;1344;1320;1296;1272;1248
129;129;129;129;121;149;171;207;238;262;267;276;279;286;319;351;370;379;411;455;490;552;630;691;725;791;843;904;991;1073;1148;1226;1318;1407;1457;1426;1396;1330;1339;1317;1296;1274;1253;1231;1210;1188
123;123;123;123;114;140;161;192;222;247;252;261;264;270;298;331;347;357;384;427;458;519;593;654;682;745;793;854;937;1018;1087;1158;1239;1324;1368;1332;1314;1258;1263;1245;1226;1208;1189;1170;1152;1133
114;114;114;114;105;129;150;179;210;233;240;250;252;256;282;309;323;335;358;400;428;483;553;614;643;705;756;818;898;968;1037;1096;1165;1241;1282;1246;1236;1187;1192;1177;1161;1146;1131;1115;1100;1085
102;102;102;102;95;116;137;168;199;220;227;236;235;238;265;294;308;319;340;381;404;455;521;582;608;675;728;786;864;929;988;1040;1109;1176;1208;1175;1171;1127;1131;1117;1104;1090;1077;1063;1050;1036
